[Connect DataFile][2.1]
Date:	4/23/2022
Time:	11:38:10
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:10:174		
000:00:00.200	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:10:374		
000:00:00.400	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:10:574		
000:00:00.600	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:10:774		
000:00:00.800	96.8	83.7	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:10:974		
000:00:01.000	96.8	83.7	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:11:174		
000:00:01.200	96.7	83.7	24.4	96.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:11:374		
000:00:01.400	96.7	83.7	24.4	96.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:11:574		
000:00:01.600	96.6	83.7	24.4	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:11:774		
000:00:01.800	96.3	83.8	24.4	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:11:974		
000:00:02.000	96.1	83.8	24.4	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:12:174		
000:00:02.200	95.2	83.8	24.4	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:12:374		
000:00:02.400	95.2	83.8	24.4	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:12:574		
000:00:02.600	95.2	83.8	24.4	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:12:774		
000:00:02.800	96.1	83.8	24.4	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:12:974		
000:00:03.000	96.4	83.8	24.4	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:13:174		
000:00:03.200	96.7	83.8	24.4	96.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:13:374		
000:00:03.400	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:13:574		
000:00:03.600	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:13:774		
000:00:03.800	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:13:974		
000:00:04.000	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:14:174		
000:00:04.200	96.7	83.8	24.4	96.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:14:374		
000:00:04.400	96.6	83.8	24.4	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:14:574		
000:00:04.600	95.9	83.8	24.4	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:14:774		
000:00:04.800	94.8	83.8	24.4	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:14:974		
000:00:05.000	94.9	83.8	24.4	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:15:174		
000:00:05.200	94.9	83.8	24.4	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:15:374		
000:00:05.400	95.8	83.8	24.4	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:15:574		
000:00:05.600	96.3	83.8	24.4	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:15:774		
000:00:05.800	96.7	83.8	24.4	96.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:15:974		
000:00:06.000	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:16:174		
000:00:06.200	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:16:374		
000:00:06.400	96.8	83.8	24.4	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:16:574		
000:00:06.600	96.7	83.8	24.4	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:16:774		
000:00:06.800	96.5	83.8	24.4	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:38:16:974		
