[Connect DataFile][2.1]
Date:	4/21/2022
Time:	14:13:15
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	94.1	74.4	29.0	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:15:043		
000:00:00.200	94.1	74.4	29.0	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:15:243		
000:00:00.400	94.1	74.4	29.0	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:15:443		
000:00:00.600	95.0	74.4	29.0	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:15:643		
000:00:00.800	94.6	74.4	29.0	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:15:843		
000:00:01.000	94.8	74.4	29.0	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:16:043		
000:00:01.200	95.0	74.4	29.0	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:16:243		
000:00:01.400	95.4	74.4	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:16:443		
000:00:01.600	95.4	74.4	29.0	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:16:643		
000:00:01.800	95.3	74.4	29.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:16:843		
000:00:02.000	95.5	74.4	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:17:043		
000:00:02.200	95.5	74.4	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:17:243		
000:00:02.400	95.5	74.4	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:17:443		
000:00:02.600	95.5	74.4	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:17:643		
000:00:02.800	95.5	74.4	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:17:843		
000:00:03.000	95.3	74.4	29.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:18:043		
000:00:03.200	95.1	74.4	29.0	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:18:243		
000:00:03.400	93.7	74.4	29.0	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:18:443		
000:00:03.600	94.6	74.5	29.0	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:18:643		
000:00:03.800	95.1	74.5	29.0	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:18:843		
000:00:04.000	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:19:043		
000:00:04.200	95.6	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:19:243		
000:00:04.400	95.1	74.5	29.0	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:19:443		
000:00:04.600	94.4	74.5	29.0	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:19:643		
000:00:04.800	93.7	74.5	29.0	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:19:843		
000:00:05.000	94.4	74.5	29.0	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:20:043		
000:00:05.200	95.4	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:20:243		
000:00:05.400	95.4	74.5	29.0	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:20:443		
000:00:05.600	95.5	74.5	29.0	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:20:643		
000:00:05.800	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:20:843		
000:00:06.000	93.7	74.5	29.0	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:21:043		
000:00:06.200	93.6	74.5	29.0	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:21:243		
000:00:06.400	93.6	74.5	29.0	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:21:443		
000:00:06.600	93.9	74.5	29.0	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:21:643		
000:00:06.800	94.4	74.5	29.0	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:21:843		
000:00:07.000	94.5	74.5	29.0	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:22:043		
000:00:07.200	94.6	74.5	29.0	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:22:243		
000:00:07.400	94.9	74.5	29.0	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:22:443		
000:00:07.600	95.2	74.5	29.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:22:643		
000:00:07.800	95.3	74.5	29.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:22:843		
000:00:08.000	95.3	74.5	29.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:23:043		
000:00:08.200	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:23:243		
000:00:08.400	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:23:443		
000:00:08.600	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:23:643		
000:00:08.800	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:23:843		
000:00:09.000	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:24:043		
000:00:09.200	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:24:243		
000:00:09.400	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:24:443		
000:00:09.600	94.9	74.5	29.0	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:24:643		
000:00:09.800	93.5	74.5	29.0	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:24:843		
000:00:10.000	94.0	74.5	29.0	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:25:043		
000:00:10.200	94.6	74.5	29.0	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:25:243		
000:00:10.400	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:25:443		
000:00:10.600	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:25:643		
000:00:10.800	95.0	74.5	29.0	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:25:843		
000:00:11.000	94.6	74.5	29.0	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:26:043		
000:00:11.200	93.4	74.5	29.0	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:26:243		
000:00:11.400	94.4	74.5	29.0	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:26:443		
000:00:11.600	94.9	74.5	29.0	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:26:643		
000:00:11.800	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:26:843		
000:00:12.000	95.5	74.5	29.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:27:043		
000:00:12.200	95.4	74.5	29.0	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:27:243		
000:00:12.400	95.4	74.5	29.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:27:443		
000:00:12.600	94.3	74.5	29.0	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:13:27:643		
