[Connect DataFile][2.1]
Date:	4/23/2022
Time:	12:39:37
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:37:710		
000:00:00.200	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:37:910		
000:00:00.400	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:38:110		
000:00:00.600	94.3	80.4	27.2	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:38:310		
000:00:00.800	93.8	80.4	27.2	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:38:510		
000:00:01.000	93.5	80.4	27.2	93.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:38:710		
000:00:01.200	93.6	80.4	27.2	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:38:910		
000:00:01.400	93.7	80.4	27.2	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:39:110		
000:00:01.600	93.7	80.4	27.2	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:39:310		
000:00:01.800	93.7	80.4	27.2	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:39:510		
000:00:02.000	93.1	80.4	27.2	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:39:710		
000:00:02.200	93.5	80.4	27.2	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:39:910		
000:00:02.400	93.9	80.4	27.2	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:40:110		
000:00:02.600	94.4	80.4	27.2	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:40:310		
000:00:02.800	94.2	80.4	27.2	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:40:510		
000:00:03.000	94.0	80.4	27.2	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:40:710		
000:00:03.200	94.0	80.4	27.2	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:40:910		
000:00:03.400	94.6	80.4	27.2	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:41:110		
000:00:03.600	94.6	80.4	27.2	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:41:310		
000:00:03.800	94.6	80.4	27.2	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:41:510		
000:00:04.000	94.3	80.4	27.2	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:41:710		
000:00:04.200	94.4	80.4	27.2	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:41:910		
000:00:04.400	94.6	80.4	27.2	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:42:110		
000:00:04.600	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:42:310		
000:00:04.800	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:42:510		
000:00:05.000	94.7	80.4	27.2	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:42:710		
000:00:05.200	94.6	80.4	27.2	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:42:910		
000:00:05.400	94.7	80.4	27.2	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:43:110		
000:00:05.600	94.8	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:43:310		
000:00:05.800	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:43:510		
000:00:06.000	94.8	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:43:710		
000:00:06.200	94.8	80.4	27.2	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:43:910		
000:00:06.400	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:44:110		
000:00:06.600	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:44:310		
000:00:06.800	94.7	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:44:510		
000:00:07.000	94.7	80.4	27.2	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:44:710		
000:00:07.200	94.6	80.4	27.2	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:44:910		
000:00:07.400	94.6	80.4	27.2	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:45:110		
000:00:07.600	94.1	80.4	27.2	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:45:310		
000:00:07.800	93.4	80.4	27.2	93.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:45:510		
000:00:08.000	92.8	80.4	27.2	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:45:710		
000:00:08.200	92.7	80.4	27.2	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:45:910		
000:00:08.400	93.0	80.4	27.2	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:46:110		
000:00:08.600	93.4	80.4	27.2	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:46:310		
000:00:08.800	94.3	80.4	27.2	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:46:510		
000:00:09.000	94.4	80.4	27.2	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:46:710		
000:00:09.200	94.6	80.4	27.2	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:46:910		
000:00:09.400	94.7	80.4	27.2	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:47:110		
000:00:09.600	94.8	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:47:310		
000:00:09.800	94.8	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:47:510		
000:00:10.000	94.8	80.4	27.2	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:47:710		
000:00:10.200	94.8	80.4	27.2	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:39:47:910		
