[Connect DataFile][2.1]
Date:	4/24/2022
Time:	19:23:29
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	95.7	75.2	28.1	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:29:370		
000:00:00.200	95.7	75.2	28.1	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:29:570		
000:00:00.400	95.7	75.2	28.1	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:29:770		
000:00:00.600	95.9	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:29:970		
000:00:00.800	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:30:170		
000:00:01.000	96.1	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:30:370		
000:00:01.200	96.1	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:30:570		
000:00:01.400	96.1	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:30:770		
000:00:01.600	96.2	75.2	28.1	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:30:970		
000:00:01.800	96.1	75.2	28.1	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:31:170		
000:00:02.000	96.2	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:31:370		
000:00:02.200	96.1	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:31:570		
000:00:02.400	96.0	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:31:770		
000:00:02.600	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:31:970		
000:00:02.800	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:32:170		
000:00:03.000	96.0	75.2	28.1	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:32:370		
000:00:03.200	95.8	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:32:570		
000:00:03.400	95.7	75.2	28.1	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:32:770		
000:00:03.600	95.4	75.2	28.1	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:32:970		
000:00:03.800	95.2	75.2	28.1	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:33:170		
000:00:04.000	94.6	75.2	28.1	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:33:370		
000:00:04.200	93.9	75.2	28.1	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:33:570		
000:00:04.400	94.0	75.2	28.1	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:33:770		
000:00:04.600	94.2	75.2	28.1	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:33:970		
000:00:04.800	94.3	75.2	28.1	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:34:170		
000:00:05.000	94.9	75.2	28.1	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:34:370		
000:00:05.200	95.1	75.2	28.1	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:34:570		
000:00:05.400	95.3	75.2	28.1	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:34:770		
000:00:05.600	95.7	75.2	28.1	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:34:970		
000:00:05.800	95.9	75.2	28.1	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:35:170		
000:00:06.000	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:35:370		
000:00:06.200	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:35:570		
000:00:06.400	96.0	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:35:770		
000:00:06.600	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:35:970		
000:00:06.800	96.0	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:36:170		
000:00:07.000	96.1	75.2	28.1	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:36:370		
000:00:07.200	96.1	75.2	28.1	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:36:570		
000:00:07.400	95.6	75.2	28.1	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:36:770		
000:00:07.600	95.5	75.2	28.1	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:36:970		
000:00:07.800	95.3	75.2	28.1	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:37:170		
000:00:08.000	94.9	75.2	28.1	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:37:370		
000:00:08.200	94.9	75.2	28.1	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:37:570		
000:00:08.400	94.9	75.2	28.1	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:37:770		
000:00:08.600	95.3	75.2	28.1	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:37:970		
000:00:08.800	95.6	75.2	28.1	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:38:170		
000:00:09.000	95.4	75.2	28.1	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:38:370		
000:00:09.200	95.3	75.2	28.1	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:38:570		
000:00:09.400	94.8	75.2	28.1	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:38:770		
000:00:09.600	94.9	75.2	28.1	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:38:970		
000:00:09.800	95.1	75.2	28.1	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:39:170		
000:00:10.000	95.3	75.2	28.1	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:39:370		
000:00:10.200	95.7	75.2	28.1	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:39:570		
000:00:10.400	95.8	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:39:770		
000:00:10.600	95.8	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:39:970		
000:00:10.800	95.7	75.2	28.1	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:40:170		
000:00:11.000	95.4	75.2	28.1	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:40:370		
000:00:11.200	95.3	75.2	28.1	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:40:570		
000:00:11.400	95.5	75.2	28.1	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:40:770		
000:00:11.600	95.7	75.2	28.1	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:40:970		
000:00:11.800	95.8	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:41:170		
000:00:12.000	95.9	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:41:370		
000:00:12.200	95.9	75.2	28.1	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:41:570		
000:00:12.400	95.9	75.2	28.1	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:41:770		
000:00:12.600	95.8	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:41:970		
000:00:12.800	95.8	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:42:170		
000:00:13.000	95.8	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:42:370		
000:00:13.200	95.8	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:42:570		
000:00:13.400	95.9	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:42:770		
000:00:13.600	95.9	75.2	28.1	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:42:970		
000:00:13.800	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:43:170		
000:00:14.000	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:43:370		
000:00:14.200	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:43:570		
000:00:14.400	95.9	75.2	28.1	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:43:770		
000:00:14.600	95.9	75.2	28.1	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:43:970		
000:00:14.800	95.9	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:44:170		
000:00:15.000	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:44:370		
000:00:15.200	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:44:570		
000:00:15.400	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:44:770		
000:00:15.600	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:44:970		
000:00:15.800	96.0	75.2	28.1	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		19:23:45:170		
