[Connect DataFile][2.1]
Date:	4/24/2022
Time:	17:51:52
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	92.4	69.5	30.4	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:52:093		
000:00:00.200	92.4	69.5	30.4	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:52:293		
000:00:00.400	92.5	69.5	30.4	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:52:493		
000:00:00.600	92.7	69.5	30.4	92.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:52:693		
000:00:00.800	92.7	69.5	30.4	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:52:893		
000:00:01.000	92.7	69.5	30.4	92.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:53:093		
000:00:01.200	92.7	69.5	30.4	92.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:53:293		
000:00:01.400	92.5	69.5	30.4	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:53:493		
000:00:01.600	92.1	69.5	30.4	92.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:53:693		
000:00:01.800	91.7	69.5	30.4	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:53:893		
000:00:02.000	91.3	69.5	30.4	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:54:093		
000:00:02.200	91.1	69.5	30.4	91.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:54:293		
000:00:02.400	91.4	69.5	30.4	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:54:493		
000:00:02.600	91.8	69.5	30.4	91.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:54:693		
000:00:02.800	91.7	69.5	30.4	91.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:54:893		
000:00:03.000	90.9	69.5	30.4	90.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:55:093		
000:00:03.200	91.3	69.5	30.4	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:55:293		
000:00:03.400	91.6	69.5	30.4	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:55:493		
000:00:03.600	92.2	69.5	30.4	92.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:55:693		
000:00:03.800	92.3	69.5	30.4	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:55:893		
000:00:04.000	92.1	69.5	30.4	92.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:56:093		
000:00:04.200	91.8	69.5	30.4	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:56:293		
000:00:04.400	92.1	69.5	30.4	92.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:56:493		
000:00:04.600	92.3	69.5	30.4	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		17:51:56:693		
