[Connect DataFile][2.1]
Date:	4/24/2022
Time:	20:27:16
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	91.1	70.2	27.8	91.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:16:995		
000:00:00.200	91.1	70.2	27.8	91.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:17:195		
000:00:00.400	91.1	70.2	27.8	91.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:17:395		
000:00:00.600	91.5	70.2	27.8	91.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:17:595		
000:00:00.800	91.9	70.2	27.8	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:17:795		
000:00:01.000	92.2	70.2	27.8	92.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:17:995		
000:00:01.200	92.4	70.2	27.8	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:18:195		
000:00:01.400	92.8	70.2	27.8	92.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:18:395		
000:00:01.600	92.9	70.2	27.8	93.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:18:595		
000:00:01.800	93.1	70.2	27.8	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:18:795		
000:00:02.000	93.3	70.2	27.8	93.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:18:995		
000:00:02.200	93.4	70.2	27.8	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:19:195		
000:00:02.400	93.5	70.2	27.8	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:19:395		
000:00:02.600	93.6	70.2	27.8	93.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:19:595		
000:00:02.800	93.6	70.2	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:19:795		
000:00:03.000	93.6	70.2	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:19:995		
000:00:03.200	93.6	70.2	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:20:195		
000:00:03.400	93.6	70.2	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:20:395		
000:00:03.600	93.6	70.2	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:20:595		
000:00:03.800	93.6	70.2	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:20:795		
000:00:04.000	93.6	70.2	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:20:995		
000:00:04.200	93.6	70.2	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:21:195		
000:00:04.400	93.5	70.2	27.8	93.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:21:395		
000:00:04.600	93.4	70.2	27.8	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:21:595		
000:00:04.800	93.4	70.2	27.8	93.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:21:795		
000:00:05.000	93.3	70.2	27.8	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:21:995		
000:00:05.200	93.0	70.1	27.8	93.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:22:195		
000:00:05.400	92.8	70.1	27.8	92.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:22:395		
000:00:05.600	92.5	70.1	27.8	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:22:595		
000:00:05.800	92.0	70.1	27.8	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:22:795		
000:00:06.000	91.7	70.1	27.8	91.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:22:995		
000:00:06.200	91.3	70.1	27.8	91.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:23:195		
000:00:06.400	90.6	70.1	27.8	90.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:23:395		
000:00:06.600	90.6	70.1	27.8	90.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:23:595		
000:00:06.800	90.8	70.1	27.8	90.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:23:795		
000:00:07.000	90.9	70.1	27.8	90.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:23:995		
000:00:07.200	91.3	70.1	27.8	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:24:195		
000:00:07.400	91.9	70.1	27.8	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:24:395		
000:00:07.600	92.1	70.1	27.8	92.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:24:595		
000:00:07.800	92.3	70.1	27.8	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:24:795		
000:00:08.000	92.7	70.1	27.8	92.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:24:995		
000:00:08.200	93.0	70.1	27.8	93.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:25:195		
000:00:08.400	93.2	70.1	27.8	93.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:25:395		
000:00:08.600	93.3	70.1	27.8	93.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:25:595		
000:00:08.800	93.3	70.1	27.8	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:25:795		
000:00:09.000	93.4	70.1	27.8	93.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:25:995		
000:00:09.200	93.5	70.1	27.8	93.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:26:195		
000:00:09.400	93.6	70.1	27.8	93.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:26:395		
000:00:09.600	93.6	70.1	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:26:595		
000:00:09.800	93.6	70.1	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:26:795		
000:00:10.000	93.6	70.1	27.8	93.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:26:995		
000:00:10.200	93.3	70.1	27.8	93.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:27:195		
000:00:10.400	92.4	70.1	27.8	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		20:27:27:395		
