[Connect DataFile][2.1]
Date:	4/21/2022
Time:	15:16:58
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	95.8	75.8	28.9	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:58:039		
000:00:00.200	95.8	75.8	28.9	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:58:239		
000:00:00.400	95.8	75.8	28.9	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:58:439		
000:00:00.600	95.9	75.8	28.9	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:58:639		
000:00:00.800	95.9	75.8	28.9	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:58:839		
000:00:01.000	95.9	75.8	28.9	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:59:039		
000:00:01.200	96.0	75.8	28.9	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:59:239		
000:00:01.400	96.0	75.8	28.9	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:59:439		
000:00:01.600	96.1	75.8	28.9	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:59:639		
000:00:01.800	96.1	75.8	28.9	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:16:59:839		
000:00:02.000	96.0	75.8	28.9	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:00:039		
000:00:02.200	95.9	75.8	28.9	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:00:239		
000:00:02.400	95.4	75.8	28.9	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:00:439		
000:00:02.600	94.9	75.8	28.9	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:00:639		
000:00:02.800	93.9	75.8	28.9	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:00:839		
000:00:03.000	94.9	75.8	28.9	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:01:039		
000:00:03.200	95.4	75.8	28.9	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:01:239		
000:00:03.400	95.8	75.8	28.9	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:01:439		
000:00:03.600	96.0	75.9	28.9	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:01:639		
000:00:03.800	95.9	75.9	28.9	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:01:839		
000:00:04.000	95.9	75.9	28.9	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:02:039		
000:00:04.200	95.8	75.9	28.9	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:02:239		
000:00:04.400	94.7	75.9	28.9	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:02:439		
000:00:04.600	94.3	75.9	28.9	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:02:639		
000:00:04.800	93.8	75.9	28.9	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:17:02:839		
