[Connect DataFile][2.1]
Date:	4/21/2022
Time:	13:46:22
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	98.2	66.9	28.5	98.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:22:865		
000:00:00.200	98.2	66.9	28.5	98.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:23:065		
000:00:00.400	98.2	66.9	28.5	98.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:23:265		
000:00:00.600	96.8	66.9	28.5	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:23:465		
000:00:00.800	96.7	66.9	28.5	96.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:23:665		
000:00:01.000	96.6	66.9	28.5	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:23:865		
000:00:01.200	96.4	66.9	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:24:065		
000:00:01.400	96.4	66.9	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:24:265		
000:00:01.600	96.4	66.9	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:24:465		
000:00:01.800	96.5	66.9	28.5	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:24:665		
000:00:02.000	96.5	66.9	28.5	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:24:865		
000:00:02.200	96.5	66.9	28.5	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:25:065		
000:00:02.400	96.5	66.9	28.5	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:25:265		
000:00:02.600	96.3	67.0	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:25:465		
000:00:02.800	96.2	67.0	28.5	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:25:665		
000:00:03.000	96.1	67.0	28.5	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:25:865		
000:00:03.200	96.0	67.0	28.5	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:26:065		
000:00:03.400	96.0	67.0	28.5	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:26:265		
000:00:03.600	96.0	67.0	28.5	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:26:465		
000:00:03.800	96.1	67.0	28.5	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:26:665		
000:00:04.000	96.0	67.0	28.5	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:26:865		
000:00:04.200	95.9	67.0	28.5	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:27:065		
000:00:04.400	95.8	67.0	28.5	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:27:265		
000:00:04.600	96.0	67.0	28.5	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:27:465		
000:00:04.800	96.1	67.0	28.5	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:27:665		
000:00:05.000	95.9	67.0	28.5	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:27:865		
000:00:05.200	95.8	67.0	28.5	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:28:065		
000:00:05.400	96.5	67.0	28.5	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:28:265		
000:00:05.600	98.2	67.0	28.5	98.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:28:465		
000:00:05.800	96.9	67.0	28.5	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:28:665		
000:00:06.000	96.7	67.0	28.5	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:28:865		
000:00:06.200	96.4	67.0	28.5	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:29:065		
000:00:06.400	95.8	67.0	28.5	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:29:265		
000:00:06.600	96.1	67.0	28.5	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:29:465		
000:00:06.800	96.4	67.0	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:29:665		
000:00:07.000	96.9	67.0	28.5	97.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:29:865		
000:00:07.200	99.0	67.0	28.5	98.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:30:065		
000:00:07.400	97.8	67.0	28.5	97.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:30:265		
000:00:07.600	96.7	67.0	28.5	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:30:465		
000:00:07.800	96.0	67.0	28.5	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:30:665		
000:00:08.000	95.8	67.0	28.5	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:30:865		
000:00:08.200	96.2	67.0	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:31:065		
000:00:08.400	96.5	67.0	28.5	96.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:31:265		
000:00:08.600	98.4	67.0	28.5	98.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:31:465		
000:00:08.800	96.7	67.0	28.5	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:31:665		
000:00:09.000	96.6	67.0	28.5	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:31:865		
000:00:09.200	96.4	67.0	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:32:065		
000:00:09.400	96.6	67.0	28.5	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:32:265		
000:00:09.600	96.4	67.0	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:32:465		
000:00:09.800	96.3	67.0	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:32:665		
000:00:10.000	96.4	67.1	28.5	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:32:865		
000:00:10.200	96.4	67.1	28.5	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		13:46:33:065		
