[Connect DataFile][2.1]
Date:	4/20/2022
Time:	14:37:16
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	94.4	67.6	33.7	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:16:901		
000:00:00.200	94.4	67.6	33.7	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:17:101		
000:00:00.400	94.7	67.6	33.7	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:17:301		
000:00:00.600	95.0	67.6	33.7	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:17:501		
000:00:00.800	95.1	67.6	33.7	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:17:701		
000:00:01.000	95.0	67.6	33.8	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:17:901		
000:00:01.200	94.9	67.6	33.8	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:18:101		
000:00:01.400	95.4	67.6	33.8	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:18:301		
000:00:01.600	95.3	67.6	33.8	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:18:501		
000:00:01.800	95.2	67.6	33.8	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:18:701		
000:00:02.000	95.1	67.6	33.8	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:18:901		
000:00:02.200	95.5	67.7	33.8	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:19:101		
000:00:02.400	95.6	67.7	33.8	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:19:301		
000:00:02.600	95.6	67.7	33.8	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:19:501		
000:00:02.800	95.6	67.7	33.8	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:19:701		
000:00:03.000	95.4	67.7	33.8	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:19:901		
000:00:03.200	95.6	67.7	33.8	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:20:101		
000:00:03.400	95.8	67.7	33.7	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:20:301		
000:00:03.600	95.9	67.7	33.7	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:20:501		
000:00:03.800	95.8	67.7	33.7	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:20:701		
000:00:04.000	95.6	67.7	33.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:20:901		
000:00:04.200	95.2	67.7	33.7	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:21:101		
000:00:04.400	94.7	67.7	33.7	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:21:301		
000:00:04.600	94.4	67.7	33.7	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:21:501		
000:00:04.800	94.1	67.7	33.7	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:21:701		
000:00:05.000	94.0	67.7	33.7	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:21:901		
000:00:05.200	94.2	67.7	33.7	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:22:101		
000:00:05.400	94.4	67.7	33.7	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:22:301		
000:00:05.600	94.9	67.7	33.8	95.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:22:501		
000:00:05.800	95.6	67.7	33.8	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:22:701		
000:00:06.000	95.8	67.7	33.8	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:22:901		
000:00:06.200	96.0	67.7	33.8	96.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:23:101		
000:00:06.400	95.8	67.7	33.8	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:23:301		
000:00:06.600	95.6	67.7	33.8	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:23:501		
000:00:06.800	95.3	67.7	33.7	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:23:701		
000:00:07.000	94.8	67.7	33.7	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:23:901		
000:00:07.200	94.1	67.7	33.7	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:24:101		
000:00:07.400	94.1	67.7	33.7	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:24:301		
000:00:07.600	94.0	67.7	33.7	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:24:501		
000:00:07.800	93.9	67.7	33.8	93.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:24:701		
000:00:08.000	94.1	67.7	33.8	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:24:901		
000:00:08.200	94.3	67.7	33.8	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:25:101		
000:00:08.400	94.8	67.7	33.8	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:37:25:301		
