[Connect DataFile][2.1]
Date:	4/20/2022
Time:	12:41:51
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	95.8	73.2	33.2	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:51:688		
000:00:00.200	95.8	73.2	33.2	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:51:888		
000:00:00.400	95.8	73.2	33.2	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:52:088		
000:00:00.600	95.7	73.2	33.2	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:52:288		
000:00:00.800	95.6	73.2	33.2	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:52:488		
000:00:01.000	95.3	73.2	33.2	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:52:688		
000:00:01.200	95.0	73.2	33.2	94.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:52:888		
000:00:01.400	94.4	73.2	33.2	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:53:088		
000:00:01.600	94.5	73.2	33.2	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:53:288		
000:00:01.800	94.6	73.2	33.2	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:53:488		
000:00:02.000	95.2	73.2	33.2	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:53:688		
000:00:02.200	95.5	73.2	33.2	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:53:888		
000:00:02.400	95.8	73.2	33.2	95.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:54:088		
000:00:02.600	95.9	73.2	33.2	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:41:54:288		
