[Connect DataFile][2.1]
Date:	4/20/2022
Time:	14:22:00
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	93.7	66.5	33.5	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:00:855		
000:00:00.200	93.7	66.5	33.5	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:01:055		
000:00:00.400	93.7	66.5	33.5	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:01:255		
000:00:00.600	94.1	66.5	33.5	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:01:455		
000:00:00.800	94.1	66.5	33.5	94.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:01:655		
000:00:01.000	94.2	66.6	33.5	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:01:855		
000:00:01.200	94.3	66.6	33.5	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:02:055		
000:00:01.400	94.7	66.6	33.5	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:02:255		
000:00:01.600	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:02:455		
000:00:01.800	94.4	66.6	33.5	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:02:655		
000:00:02.000	94.4	66.6	33.5	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:02:855		
000:00:02.200	94.7	66.6	33.5	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:03:055		
000:00:02.400	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:03:255		
000:00:02.600	94.5	66.6	33.5	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:03:455		
000:00:02.800	94.7	66.6	33.5	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:03:655		
000:00:03.000	94.7	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:03:855		
000:00:03.200	94.7	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:04:055		
000:00:03.400	94.5	66.6	33.5	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:04:255		
000:00:03.600	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:04:455		
000:00:03.800	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:04:655		
000:00:04.000	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:04:855		
000:00:04.200	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:05:055		
000:00:04.400	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:05:255		
000:00:04.600	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:05:455		
000:00:04.800	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:05:655		
000:00:05.000	94.3	66.6	33.5	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:05:855		
000:00:05.200	93.9	66.6	33.5	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:06:055		
000:00:05.400	93.9	66.6	33.5	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:06:255		
000:00:05.600	93.8	66.6	33.5	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:06:455		
000:00:05.800	94.3	66.6	33.5	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:06:655		
000:00:06.000	94.5	66.6	33.5	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:06:855		
000:00:06.200	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:07:055		
000:00:06.400	94.6	66.6	33.5	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:07:255		
000:00:06.600	94.7	66.6	33.5	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:07:455		
000:00:06.800	94.7	66.6	33.5	94.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:07:655		
000:00:07.000	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:07:855		
000:00:07.200	94.5	66.6	33.5	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:08:055		
000:00:07.400	94.0	66.6	33.5	94.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:08:255		
000:00:07.600	93.8	66.6	33.5	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:08:455		
000:00:07.800	93.8	66.6	33.5	93.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:08:655		
000:00:08.000	93.7	66.6	33.5	93.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:08:855		
000:00:08.200	94.2	66.6	33.5	94.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:09:055		
000:00:08.400	94.3	66.6	33.5	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:09:255		
000:00:08.600	94.4	66.6	33.5	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:09:455		
000:00:08.800	94.6	66.6	33.5	94.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:09:655		
000:00:09.000	94.5	66.6	33.5	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		14:22:09:855		
