[Connect DataFile][2.1]
Date:	4/20/2022
Time:	11:47:44
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	95.4	75.7	31.0	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:44:952		
000:00:00.200	95.4	75.7	31.0	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:45:152		
000:00:00.400	95.4	75.7	31.0	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:45:352		
000:00:00.600	94.3	75.7	31.0	94.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:45:552		
000:00:00.800	94.8	75.7	31.0	94.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:45:752		
000:00:01.000	95.3	75.7	31.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:45:952		
000:00:01.200	95.3	75.7	31.0	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:46:152		
000:00:01.400	95.2	75.7	31.0	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:46:352		
000:00:01.600	95.1	75.7	31.0	95.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:46:552		
000:00:01.800	95.3	75.7	31.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:46:752		
000:00:02.000	95.4	75.7	31.0	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:46:952		
000:00:02.200	94.4	75.7	31.0	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:47:152		
000:00:02.400	94.4	75.7	31.0	94.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:47:352		
000:00:02.600	94.4	75.7	31.0	94.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:47:552		
000:00:02.800	95.2	75.7	31.0	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:47:752		
000:00:03.000	95.2	75.7	31.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:47:952		
000:00:03.200	95.2	75.7	31.0	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:48:152		
000:00:03.400	95.2	75.7	31.0	95.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:48:352		
000:00:03.600	95.6	75.7	31.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:48:552		
000:00:03.800	95.6	75.7	31.0	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:48:752		
000:00:04.000	95.6	75.7	31.0	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:48:952		
000:00:04.200	95.5	75.7	31.0	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		11:47:49:152		
