[Connect DataFile][2.1]
Date:	4/21/2022
Time:	10:05:02
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	91.3	65.8	27.8	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:02:694		
000:00:00.200	91.3	65.8	27.8	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:02:894		
000:00:00.400	91.3	65.8	27.8	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:03:094		
000:00:00.600	91.3	65.8	27.8	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:03:294		
000:00:00.800	91.3	65.8	27.8	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:03:494		
000:00:01.000	91.3	65.8	27.8	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:03:694		
000:00:01.200	91.3	65.8	27.8	91.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:03:894		
000:00:01.400	91.4	65.8	27.8	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:04:094		
000:00:01.600	91.4	65.8	27.8	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:04:294		
000:00:01.800	91.4	65.8	27.8	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:04:494		
000:00:02.000	91.4	65.8	27.8	91.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:04:694		
000:00:02.200	91.4	65.8	27.8	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:04:894		
000:00:02.400	91.4	65.8	27.8	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:05:094		
000:00:02.600	91.4	65.8	27.8	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:05:294		
000:00:02.800	91.5	65.8	27.8	91.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:05:494		
000:00:03.000	91.5	65.8	27.8	91.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:05:694		
000:00:03.200	91.5	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:05:894		
000:00:03.400	91.5	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:06:094		
000:00:03.600	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:06:294		
000:00:03.800	91.5	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:06:494		
000:00:04.000	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:06:694		
000:00:04.200	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:06:894		
000:00:04.400	91.6	65.8	27.8	91.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:07:094		
000:00:04.600	91.6	65.8	27.8	91.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:07:294		
000:00:04.800	91.5	65.8	27.8	91.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:07:494		
000:00:05.000	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:07:694		
000:00:05.200	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:07:894		
000:00:05.400	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:08:094		
000:00:05.600	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:08:294		
000:00:05.800	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:08:494		
000:00:06.000	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:08:694		
000:00:06.200	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:08:894		
000:00:06.400	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:09:094		
000:00:06.600	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:09:294		
000:00:06.800	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:09:494		
000:00:07.000	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:09:694		
000:00:07.200	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:09:894		
000:00:07.400	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:10:094		
000:00:07.600	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:10:294		
000:00:07.800	91.6	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:10:494		
000:00:08.000	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:10:694		
000:00:08.200	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:10:894		
000:00:08.400	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:11:094		
000:00:08.600	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:11:294		
000:00:08.800	91.7	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:11:494		
000:00:09.000	91.7	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:11:694		
000:00:09.200	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:11:894		
000:00:09.400	91.6	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:12:094		
000:00:09.600	91.6	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:12:294		
000:00:09.800	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:12:494		
000:00:10.000	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:12:694		
000:00:10.200	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:12:894		
000:00:10.400	91.8	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:13:094		
000:00:10.600	91.8	65.8	27.8	91.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:13:294		
000:00:10.800	91.8	65.8	27.8	91.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:13:494		
000:00:11.000	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:13:694		
000:00:11.200	91.7	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:13:894		
000:00:11.400	91.7	65.8	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:14:094		
000:00:11.600	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:14:294		
000:00:11.800	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:14:494		
000:00:12.000	91.7	65.8	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:14:694		
000:00:12.200	91.7	65.7	27.8	91.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:14:894		
000:00:12.400	91.7	65.7	27.8	91.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:15:094		
000:00:12.600	91.6	65.7	27.8	91.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		10:05:15:294		
