[Connect DataFile][2.1]
Date:	4/18/2022
Time:	12:52:26
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	92.8	58.3	28.7	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:26:553		
000:00:00.200	92.8	58.3	28.7	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:26:753		
000:00:00.400	92.8	58.3	28.7	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:26:953		
000:00:00.600	92.4	58.3	28.7	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:27:153		
000:00:00.800	92.4	58.3	28.7	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:27:353		
000:00:01.000	92.3	58.3	28.7	92.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:27:553		
000:00:01.200	92.3	58.3	28.7	92.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:27:753		
000:00:01.400	92.3	58.3	28.7	92.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:27:953		
000:00:01.600	92.1	58.3	28.7	92.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:28:153		
000:00:01.800	92.0	58.3	28.7	92.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:28:353		
000:00:02.000	91.9	58.3	28.7	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:28:553		
000:00:02.200	92.1	58.3	28.7	92.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:28:753		
000:00:02.400	92.0	58.3	28.7	92.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:28:953		
000:00:02.600	91.9	58.3	28.7	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:29:153		
000:00:02.800	91.9	58.3	28.7	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:29:353		
000:00:03.000	91.9	58.3	28.7	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:29:553		
000:00:03.200	91.9	58.3	28.7	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:29:753		
000:00:03.400	91.9	58.2	28.7	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:29:953		
000:00:03.600	91.9	58.2	28.7	91.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:30:153		
000:00:03.800	91.9	58.2	28.7	91.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:30:353		
000:00:04.000	92.0	58.2	28.7	92.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:30:553		
000:00:04.200	92.9	58.2	28.7	92.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:30:753		
000:00:04.400	92.5	58.2	28.7	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:30:953		
000:00:04.600	92.1	58.2	28.7	92.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:31:153		
000:00:04.800	91.8	58.2	28.7	91.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:31:353		
000:00:05.000	92.1	58.2	28.7	92.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:31:553		
000:00:05.200	92.3	58.2	28.7	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:31:753		
000:00:05.400	92.7	58.2	28.7	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:31:953		
000:00:05.600	92.7	58.3	28.7	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:32:153		
000:00:05.800	92.7	58.3	28.7	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:32:353		
000:00:06.000	92.7	58.3	28.7	92.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:32:553		
000:00:06.200	92.4	58.3	28.7	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:32:753		
000:00:06.400	92.3	58.3	28.7	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:32:953		
000:00:06.600	92.2	58.3	28.7	92.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:52:33:153		
