[Connect DataFile][2.1]
Date:	4/18/2022
Time:	15:14:47
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	95.6	73.3	31.7	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:47:369		
000:00:00.200	95.6	73.3	31.7	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:47:569		
000:00:00.400	95.6	73.3	31.7	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:47:769		
000:00:00.600	95.6	73.3	31.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:47:969		
000:00:00.800	95.9	73.3	31.7	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:48:169		
000:00:01.000	95.7	73.3	31.7	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:48:369		
000:00:01.200	95.4	73.3	31.7	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:48:569		
000:00:01.400	96.1	73.3	31.7	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:48:769		
000:00:01.600	96.5	73.3	31.7	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:48:969		
000:00:01.800	96.9	73.3	31.7	97.0	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:49:169		
000:00:02.000	96.5	73.3	31.7	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:49:369		
000:00:02.200	95.5	73.3	31.7	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:49:569		
000:00:02.400	95.6	73.3	31.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:49:769		
000:00:02.600	95.7	73.3	31.7	95.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:49:969		
000:00:02.800	96.1	73.3	31.7	96.2	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:50:169		
000:00:03.000	96.9	73.3	31.7	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:50:369		
000:00:03.200	96.8	73.3	31.7	96.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:50:569		
000:00:03.400	96.7	73.3	31.7	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:50:769		
000:00:03.600	96.7	73.3	31.7	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:50:969		
000:00:03.800	96.5	73.3	31.7	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:51:169		
000:00:04.000	96.5	73.3	31.7	96.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:51:369		
000:00:04.200	96.5	73.3	31.7	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:51:569		
000:00:04.400	96.4	73.3	31.7	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:51:769		
000:00:04.600	96.5	73.3	31.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:51:969		
000:00:04.800	96.5	73.3	31.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:52:169		
000:00:05.000	96.5	73.3	31.7	96.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:52:369		
000:00:05.200	96.0	73.3	31.7	95.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:52:569		
000:00:05.400	96.1	73.3	31.7	96.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:52:769		
000:00:05.600	96.2	73.3	31.7	96.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:52:969		
000:00:05.800	95.4	73.3	31.7	95.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:53:169		
000:00:06.000	95.7	73.3	31.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:53:369		
000:00:06.200	95.6	73.3	31.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:53:569		
000:00:06.400	95.5	73.3	31.7	95.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:53:769		
000:00:06.600	95.5	73.3	31.7	95.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:53:969		
000:00:06.800	95.4	73.3	31.7	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:54:169		
000:00:07.000	95.3	73.3	31.7	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:54:369		
000:00:07.200	95.2	73.3	31.7	95.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:54:569		
000:00:07.400	96.3	73.3	31.7	96.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:54:769		
000:00:07.600	96.8	73.3	31.7	96.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		15:14:54:969		
