[Connect DataFile][2.1]
Date:	4/20/2022
Time:	12:48:30
Unit:	°C
Resolution:	0.200/0.100
Values:	12
SnapshotTrigger:	0	0.0
MeasurementTrigger:	0	0.0
Time	TProc	TInt	TBox	TAvg	T_2C	T_1C	Attenuation	Eps.	Value	Vcc	TAmb	TAct	CompressionIdx	Time absolute	ImageIdx	ImageValue
000:00:00.000	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:30:037		
000:00:00.200	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:30:237		
000:00:00.400	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:30:437		
000:00:00.600	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:30:637		
000:00:00.800	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:30:837		
000:00:01.000	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:31:037		
000:00:01.200	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:31:237		
000:00:01.400	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:31:437		
000:00:01.600	92.4	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:31:637		
000:00:01.800	92.4	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:31:837		
000:00:02.000	92.3	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:32:037		
000:00:02.200	92.3	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:32:237		
000:00:02.400	92.3	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:32:437		
000:00:02.600	92.3	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:32:637		
000:00:02.800	92.3	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:32:837		
000:00:03.000	92.3	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:33:037		
000:00:03.200	92.3	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:33:237		
000:00:03.400	92.4	74.1	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:33:437		
000:00:03.600	92.4	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:33:637		
000:00:03.800	92.4	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:33:837		
000:00:04.000	92.4	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:34:037		
000:00:04.200	92.4	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:34:237		
000:00:04.400	92.4	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:34:437		
000:00:04.600	92.4	74.1	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:34:637		
000:00:04.800	92.4	74.0	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:34:837		
000:00:05.000	92.4	74.0	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:35:037		
000:00:05.200	92.4	74.0	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:35:237		
000:00:05.400	92.4	74.0	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:35:437		
000:00:05.600	92.4	74.0	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:35:637		
000:00:05.800	92.4	74.0	33.3	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:35:837		
000:00:06.000	92.4	74.0	33.3	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:36:037		
000:00:06.200	92.4	74.0	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:36:237		
000:00:06.400	92.4	74.0	33.3	92.4	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:36:437		
000:00:06.600	93.0	74.0	33.3	91.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:36:637		
000:00:06.800	92.4	74.0	33.3	92.8	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:36:837		
000:00:07.000	92.8	74.0	33.3	92.9	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:37:037		
000:00:07.200	93.1	74.0	33.3	93.1	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:37:237		
000:00:07.400	92.2	74.0	33.3	92.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:37:437		
000:00:07.600	92.8	74.0	33.3	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:37:637		
000:00:07.800	92.6	74.0	33.3	92.5	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:37:837		
000:00:08.000	92.3	74.0	33.3	92.3	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:38:037		
000:00:08.200	92.6	74.0	33.3	92.6	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:38:237		
000:00:08.400	92.7	74.0	33.3	92.7	0.0	0.0	0.0	0.000	0.000	0.000	0.0	0.0		12:48:38:437		
